project,link,type,year,role,with
dotp-midi,https://usefulparade.github.io/dotp-midi/,code+music tool,2020,programmer+designer,alex wand+desert magic
game of life synth,https://usefulparade.com/tools/gameoflifesynth/,code+music tool,2020,solo project,
"the wind, east of lake erie",https://usefulparade.com/tools/thewindeastoflakeerie/,code+music tool,2020,solo project,
double pendulum synth,http://www.lukewilliamsmusic.com/pendulosc/,code+music tool,2018,solo project,
dotp-app,https://danceoftheplanets.com,code+music tool+app,2018,programmer+designer,alexwand+desertmagic
40 songs for a train ride,https://luscho.bandcamp.com/album/40-songs-for-a-train-ride,music+album,2019-2020,solo project,spencer ether
moons,https://www.youtube.com/playlist?list=PLzKbRT0ic4QlbkRRrDWxbeRzl7HadpPHB,music+album,2015-2020,solo project,logan hone
moons,https://www.youtube.com/playlist?list=PLzKbRT0ic4QlbkRRrDWxbeRzl7HadpPHB,video+collage,2015-2020,solo project,
hayfever!,https://luscho.bandcamp.com/album/hayfever,music+ep,2019,solo project,
early sequences,https://luscho.bandcamp.com/album/early-sequences,music+ep,2019,solo project,
saltshoesnow,https://luscho.bandcamp.com/album/saltshoesnow,music+ep,2019,solo project,
dustbathing substrate,https://luscho.bandcamp.com/album/dustbathing-substrate-2,music+ep,2019,solo project,
atongue[,https://luscho.bandcamp.com/album/atongue,music+album,2015-2017,solo project,spencer ether+logan hone+ jesse qt
there is some space below that,https://luscho.bandcamp.com/album/there-is-some-space-below-that,music+album,2014,solo project,
Desert Gestalt,https://luscho.bandcamp.com/album/desert-gestalt,music+album,2013,solo project,
Fair Mariner,,music+album,2013,solo project,
The June of Two Place,https://benswisher.bandcamp.com/album/the-june-of-two-place,music+album,2020,glaze,ben swisher+elise cavicchi
A Day Like This,https://caristevens.bandcamp.com/album/a-day-like-this,music+ep,2020,instrumentalist,cari stevens
Feel-Good Instrumental Music!,https://loganhone.bandcamp.com/album/feel-good-instrumental-music,music+album,2020,instrumentalist+glaze,logan hone
All-Time Forever Mixtape,https://loganhone.bandcamp.com/album/all-time-forever-mixtape-a-collection-of-sing-songs-jazzy-instrumentals-softer-music,music+album,2019,instrumentalist+mix+glaze,logan hone
Flowers On Loan,https://loganhone.bandcamp.com/album/all-time-forever-mixtape-a-collection-of-sing-songs-jazzy-instrumentals-softer-music,music+album,2020,mix+glaze,logan hone+jesse qt+owen stewart-robinson
It Lo,https://loganhone.bandcamp.com/album/it-lo,music+album,2017,engineer+mix+glaze,logan hone+jason rabb+nick foster
Variety Show,https://loganhone.bandcamp.com/album/variety-show,music+album,2017,instrumentalist+glaze,logan hone
"Wind, Sun, Salt the Path",https://www.youtube.com/watch?time_continue=6&v=A-uYoR_41TQ,music+album,2018,bandmate,logan hone+a buncha folks
In The Universe,https://desertmagic.bandcamp.com/album/in-the-universe,music+album,2018,bandmate,desert magic
Boot Leguages,https://senwisher.bandcamp.com/album/boot-leguages,music+ep,2018,bandmate+producer,ben swisher+jessica li
3P,https://pickybunches.bandcamp.com/album/3p,music+ep,2018,glaze,picky bunches
Two,https://dirtyprovo.bandcamp.com/album/two,music+album,2015,producer+mix+glaze,jesse qt+stuart wheeler
White Bristles,https://brightwhistles.bandcamp.com/album/white-bristles,music+album,2015,bandmate+producer,logan hone+jesse qt
The Sichuan Project,https://matteo.bandcamp.com/album/the-sichuan-project-2,music+ep,2012,bandmate+producer,matteo
The Morning Market,https://matteo.bandcamp.com/album/the-morning-market,music+album,2011,bandmate+producer,matteo
parts of speech,https://juliamecham.bandcamp.com/,music+album,2011,producer,julia mecham
three Desert Magic videos,https://www.youtube.com/playlist?list=PLzKbRT0ic4QkC_00_HuQhDTTfR-w2vtpd,video,2019,editor,desert magic
Reply All Episode 152,https://gimletmedia.com/shows/reply-all/llhd33/152-the-real-enemy-part-1,music+score,2019,composer+producer,reply all+tim howard
ungrind,https://luscho.bandcamp.com/album/ungrind,music+album,2018,solo project,
A Night Deity,https://luscho.itch.io/a-night-deity,code+music tool,2016,solo project,mystic western game jam
Bathysphere,https://luscho.itch.io/bathysphere,code+video game,2016,solo project,blair johnson+lowrezjam
Signal Recording Analysis Internship,https://luscho.itch.io/signal-recording-analysis-internship,code+video game,2016,programmer+sound designer,blair johnson+fermijam
Weary As We Are,,music+album,2010,solo project,
Ancient Eyes,,music+ep,2007,solo project,simon williams
gifscores (season 1),https://www.instagram.com/gifscores/,music+daily practice,2016-2017,solo project,
gifscores (season 2),https://www.instagram.com/gifscores/,music+daily practice,2020,solo project,
post-american roboindustrial open mic,,music+covers album,2017,solo project,gretchen devine+julia mecham
the desert wash,https://warmheight.bandcamp.com/releases,music+album,2017,producer+mix+glaze,eric chipman
onward!,,code+music game,2017,programmer+designer+performer,redcat+logan hone+jesse qt
@kenning_maker,https://twitter.com/kenning_maker,code+twitterbot,2017,programmer,blair johnson
@geryon_bot,https://twitter.com/geryon_bot,code+twitterbot,2017,solo project,
patreon,https://www.patreon.com/lukewilliams,monthly bundles,2016-2020,solo project,
useful books,https://www.patreon.com/usefulbooks,handmade books,2017-2019,binder+illustrator,blair johnson
spoilia,https://blairjohnsonpoetry.com/spoilia/,code+poem,2019,programmer,blair johnson
ake,https://blairjohnsonpoetry.com/ake/,code+poem,2019,programmer,blair johnson
tongue prattle,https://blairjohnsonpoetry.com/tongueprattle/,code+poem,2020,programmer,blair johnson
hone/williams/wheeler,https://www.youtube.com/watch?v=-gwRmvScGVg&feature=youtu.be,music+album,2015,bandmate,logan hone+stuart wheeler
Pomodore I-IV,https://luscho.bandcamp.com/album/pomodore-i-iv,music+ep,2020,solo project,
